"ObjetoOriginal","ObjetoNovo"
"ZTP_CARROCERIA2","ZESZTP_CARROCERIA2"
"ZDM_PROTOCOLO_COTTON","ZESZDM_PROTOCOLO_COTTON"
"ZDE_NR_QUANTIDADE","ZESZDE_NR_QUANTIDADE"
"ZCH_REF_ENT","ZESZCH_REF_ENT"
"ZDE_TIME_CREATE","ZESZDE_TIME_CREATE"
"ZDE_PRAZO_007_ALERTA","ZESZDE_PRAZO_007_ALERTA"
"ZDM_TIPO_CARTAO","ZESZDM_TIPO_CARTAO"
"ZDE_NR_QTD_SALDO_NOMEAR","ZESZDE_NR_QTD_SALDO_NOMEAR"
"ZIOFALIQ","ZESZIOFALIQ"
"ZGLE0045","ZESZGLE0045"
"ZDM_STATUS_ROMANEIO","ZESZDM_STATUS_ROMANEIO"
"ZDE_DATA","ZESZDE_DATA"
"ZDD_NOSSO_NUMERO","ZESZDD_NOSSO_NUMERO"
"ZDE_SRV_INTEGRACAO","ZESZDE_SRV_INTEGRACAO"
"ZDE_CIDADE_DESTINO","ZESZDE_CIDADE_DESTINO"
"ZDE_VL_FT_PEDE_BRL","ZESZDE_VL_FT_PEDE_BRL"
"ZDE_CTE_DIST_N55_ALV","ZESZDE_CTE_DIST_N55_ALV"
"ZDE_TP_PROC_TRANSP_REPOM","ZESZDE_TP_PROC_TRANSP_REPOM"
"ZDE_RECEBEDOR_CNPJ","ZESZDE_RECEBEDOR_CNPJ"
"ZDOPP_STAT_APROV","ZESZDOPP_STAT_APROV"
"ZDE_FC_DEST_MI","ZESZDE_FC_DEST_MI"
"ZCOD_AGLUTINACAO","ZESZCOD_AGLUTINACAO"
"ZMMDE_VALOR_ROYALTIES","ZESZMMDE_VALOR_ROYALTIES"
"ZDESD_UZEIT","ZESZDESD_UZEIT"
"ZDE_DT_FINALIZADO","ZESZDE_DT_FINALIZADO"
"ZFRETEF","ZESZFRETEF"
"ZQTDCON","ZESZQTDCON"
"ZCLMM_BP_APROV_ADIA_FORN","ZESZCLMM_BP_APROV_ADIA_FORN"
"ZPRODUTOID","ZESZPRODUTOID"
"ZDE_VLRFATURA","ZESZDE_VLRFATURA"
"ZDE_VL_FT_ESTA_USD","ZESZDE_VL_FT_ESTA_USD"
"ZDE_SENHA_HASH_MD5","ZESZDE_SENHA_HASH_MD5"
"ZVL_PECA","ZESZVL_PECA"
"ZDE_DS_ORLI","ZESZDE_DS_ORLI"
"ZDE_PONTO_COLETA","ZESZDE_PONTO_COLETA"
"ZDE_ID_CARGA_SAFRA_CONTROL","ZESZDE_ID_CARGA_SAFRA_CONTROL"
"ZMOEDAP","ZESZMOEDAP"
"ZDE_INFO_IDE_CTE","ZESZDE_INFO_IDE_CTE"
"ZPESAGEM","ZESZPESAGEM"
